Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
536831,85123A,WHITE HEART,15,2011-01-30 12:00,6.12,14000,United Kingdom
539536,85123A,WHITE HEART,23,2011-02-26 12:00,1.41,14000,United Kingdom
537134,85123A,WHITE HEART,40,2010-12-22 12:00,5.96,14000,United Kingdom
537549,85123A,WHITE HEART,24,2011-01-07 09:00,6.83,14000,United Kingdom
536839,85123A,WHITE HEART,12,2011-03-18 16:00,5.28,14000,United Kingdom
538264,85123A,WHITE HEART,42,2011-01-29 10:00,1.33,14000,United Kingdom
539253,85123A,WHITE HEART,3,2010-12-07 12:00,7.02,14000,United Kingdom
538406,85123A,WHITE HEART,39,2011-02-27 09:00,1.09,14000,United Kingdom
537843,85123A,WHITE HEART,9,2010-12-02 11:00,1.11,14000,United Kingdom
539517,85123A,WHITE HEART,44,2011-01-16 10:00,4.47,14000,United Kingdom
537386,85123A,WHITE HEART,36,2010-12-04 09:00,2.28,14000,United Kingdom
537865,85123A,WHITE HEART,6,2010-12-04 13:00,2.46,14000,United Kingdom
541276,85123A,WHITE HEART,18,2011-01-03 11:00,6.43,14000,United Kingdom
536702,85123A,WHITE HEART,15,2011-02-25 16:00,1.62,14000,United Kingdom
541224,85123A,WHITE HEART,47,2010-12-26 16:00,6.8,14000,United Kingdom
538933,85123A,WHITE HEART,45,2010-12-15 08:00,1.99,14000,United Kingdom
536756,85123A,WHITE HEART,24,2010-12-08 15:00,3.76,14000,United Kingdom
539464,85123A,WHITE HEART,35,2010-12-05 14:00,6.53,14000,United Kingdom
539469,85123A,WHITE HEART,7,2010-12-12 09:00,6.95,14000,United Kingdom
537169,85123A,WHITE HEART,48,2011-01-31 15:00,3.6,14000,United Kingdom
539055,85123A,WHITE HEART,35,2011-02-24 10:00,5.14,14000,United Kingdom
540853,85123A,WHITE HEART,1,2011-03-29 14:00,6.05,14000,United Kingdom
537228,85123A,WHITE HEART,15,2011-01-11 10:00,3.99,14000,United Kingdom
538122,85123A,WHITE HEART,39,2011-03-06 11:00,4.33,14000,United Kingdom
538087,85123A,WHITE HEART,37,2011-03-19 11:00,2.75,14000,United Kingdom
539425,85123A,WHITE HEART,22,2011-01-11 16:00,7.16,14000,United Kingdom
538346,85123A,WHITE HEART,6,2011-03-18 11:00,4.2,14000,United Kingdom
539667,85123A,WHITE HEART,11,2011-03-29 16:00,3.27,14000,United Kingdom
539040,85123A,WHITE HEART,33,2010-12-27 16:00,2.9,14000,United Kingdom
541109,85123A,WHITE HEART,13,2011-03-13 13:00,7.03,14000,United Kingdom
538363,85123A,WHITE HEART,37,2011-03-16 15:00,5.85,14000,United Kingdom
C540128,84029E,WOOLLY HOTTIE,-36,2011-03-15 08:00,4.63,14000,United Kingdom
C538001,85123A,WHITE HEART,-16,2010-12-02 08:00,2.76,14000,United Kingdom
C541102,85123A,WHITE HEART,-21,2010-12-02 08:00,2.87,14000,United Kingdom
539839,84029E,WOOLLY HOTTIE,23,2011-03-07 08:00,2.95,14001,United Kingdom
541296,71053,METAL LANTERN,44,2011-02-08 14:00,4.13,14001,United Kingdom
538692,47566,PARTY BUNTING,11,2010-12-17 13:00,3.59,14001,United Kingdom
539637,21730,GLASS STAR,34,2010-12-11 08:00,5.43,14001,United Kingdom
537734,84029E,WOOLLY HOTTIE,16,2010-12-20 11:00,1.29,14001,United Kingdom
536853,22633,HAND WARMER,19,2011-02-09 11:00,3.44,14001,United Kingdom
541101,85123A,WHITE HEART,40,2011-02-20 15:00,3.71,14001,United Kingdom
536627,21212,PACK BALLOONS,25,2010-12-31 10:00,2.46,14001,United Kingdom
538414,22491,PINK DOUGHNUT,48,2011-01-29 08:00,4.89,14001,United Kingdom
540455,85123A,WHITE HEART,48,2011-02-07 12:00,7.76,14001,United Kingdom
540864,47566,PARTY BUNTING,9,2010-12-19 10:00,2.95,14001,United Kingdom
537810,22086,PAPER CHAIN,33,2011-02-13 08:00,5.49,14001,United Kingdom
536463,22086,PAPER CHAIN,20,2011-03-22 16:00,5.06,14001,United Kingdom
540142,21212,PACK BALLOONS,29,2011-03-20 09:00,2.99,14001,United Kingdom
536525,84029E,WOOLLY HOTTIE,35,2011-01-10 11:00,5.56,14001,United Kingdom
537892,22960,JAM SET,33,2011-01-17 11:00,4.46,14001,United Kingdom
540930,22086,PAPER CHAIN,7,2011-01-02 10:00,6.05,14001,United Kingdom
539801,47566,PARTY BUNTING,22,2011-01-07 13:00,2.71,14001,United Kingdom
541258,22633,HAND WARMER,8,2011-03-08 12:00,5.42,14001,United Kingdom
539432,85123A,WHITE HEART,28,2011-03-07 12:00,5.68,14001,United Kingdom
537608,22633,HAND WARMER,4,2011-01-18 08:00,1.17,14001,United Kingdom
538692,21730,GLASS STAR,6,2011-03-15 12:00,3.59,14001,United Kingdom
537504,85123A,WHITE HEART,46,2011-03-09 08:00,7.77,14001,United Kingdom
538181,21730,GLASS STAR,32,2011-02-05 09:00,6.96,14001,United Kingdom
539098,22491,PINK DOUGHNUT,31,2011-02-05 15:00,6.91,14001,United Kingdom
536519,22086,PAPER CHAIN,32,2010-12-23 09:00,5.7,14001,United Kingdom
540706,22491,PINK DOUGHNUT,2,2011-03-14 08:00,3.26,14001,United Kingdom
538206,47566,PARTY BUNTING,29,2010-12-26 10:00,3.08,14001,United Kingdom
540496,21212,PACK BALLOONS,24,2010-12-07 16:00,7.39,14001,United Kingdom
537531,22960,JAM SET,1,2011-03-20 10:00,1.5,14001,United Kingdom
540511,71053,METAL LANTERN,2,2011-02-01 13:00,4.07,14002,United Kingdom
538080,21212,PACK BALLOONS,22,2011-02-24 08:00,5.14,14002,United Kingdom
539489,22491,PINK DOUGHNUT,6,2011-03-17 12:00,3.12,14002,United Kingdom
540507,21730,GLASS STAR,39,2011-03-19 11:00,1.6,14002,United Kingdom
537000,22633,HAND WARMER,40,2010-12-13 09:00,6.08,14002,United Kingdom
540040,22491,PINK DOUGHNUT,30,2011-03-30 10:00,1.29,14002,United Kingdom
537515,22491,PINK DOUGHNUT,26,2011-03-27 14:00,1.18,14002,United Kingdom
539214,21212,PACK BALLOONS,12,2011-01-27 08:00,3.86,14002,United Kingdom
541357,84029E,WOOLLY HOTTIE,48,2011-03-19 12:00,2.28,14002,United Kingdom
539512,47566,PARTY BUNTING,5,2011-03-29 10:00,5.28,14002,United Kingdom
539721,22491,PINK DOUGHNUT,16,2011-02-24 16:00,2.11,14002,United Kingdom
540913,21730,GLASS STAR,47,2011-03-20 11:00,1.29,14002,United Kingdom
538122,22491,PINK DOUGHNUT,26,2011-01-08 11:00,4.44,14002,United Kingdom
539214,21730,GLASS STAR,23,2011-03-28 12:00,1.34,14002,United Kingdom
537380,22960,JAM SET,31,2010-12-19 08:00,1.11,14002,United Kingdom
540957,21730,GLASS STAR,45,2010-12-24 14:00,2.14,14002,United Kingdom
540365,22960,JAM SET,24,2011-01-04 08:00,5.74,14002,United Kingdom
540278,22633,HAND WARMER,43,2011-02-05 08:00,7.59,14002,United Kingdom
537990,71053,METAL LANTERN,35,2011-02-28 15:00,3.36,14002,United Kingdom
537881,71053,METAL LANTERN,41,2011-01-27 12:00,4.47,14002,United Kingdom
538869,22086,PAPER CHAIN,36,2011-01-05 12:00,3.93,14002,United Kingdom
538508,22086,PAPER CHAIN,35,2011-03-22 11:00,7.93,14002,United Kingdom
540131,22086,PAPER CHAIN,23,2011-01-06 08:00,7.52,14002,United Kingdom
540317,47566,PARTY BUNTING,25,2010-12-30 08:00,2.67,14002,United Kingdom
536760,22960,JAM SET,48,2010-12-13 10:00,3.73,14002,United Kingdom
541311,21212,PACK BALLOONS,19,2011-02-09 11:00,1.64,14002,United Kingdom
540856,22491,PINK DOUGHNUT,47,2011-02-07 10:00,1.58,14002,United Kingdom
537427,21212,PACK BALLOONS,21,2010-12-23 16:00,6.27,14002,United Kingdom
537097,21730,GLASS STAR,42,2010-12-14 12:00,7.82,14002,United Kingdom
539689,71053,METAL LANTERN,47,2011-02-12 08:00,2.0,14002,United Kingdom
537905,22086,PAPER CHAIN,42,2010-12-27 09:00,3.78,14003,United Kingdom
537730,21730,GLASS STAR,38,2011-03-22 08:00,7.91,14003,United Kingdom
538192,22960,JAM SET,17,2011-02-27 11:00,7.63,14003,United Kingdom
538579,84029E,WOOLLY HOTTIE,31,2011-03-18 13:00,4.37,14003,United Kingdom
537608,22491,PINK DOUGHNUT,26,2011-02-05 09:00,3.31,14003,United Kingdom
538323,22491,PINK DOUGHNUT,20,2011-01-30 16:00,1.83,14003,United Kingdom
537579,85123A,WHITE HEART,3,2011-01-31 16:00,5.08,14003,United Kingdom
536498,85123A,WHITE HEART,25,2011-01-07 12:00,7.08,14003,United Kingdom
540540,22491,PINK DOUGHNUT,44,2011-01-14 12:00,7.85,14003,United Kingdom
537621,21730,GLASS STAR,36,2010-12-20 16:00,4.88,14004,United Kingdom
540002,85123A,WHITE HEART,14,2010-12-01 12:00,3.06,14004,United Kingdom
536722,84029E,WOOLLY HOTTIE,3,2011-01-26 15:00,7.31,14004,United Kingdom
540550,22086,PAPER CHAIN,28,2011-03-02 11:00,3.35,14004,United Kingdom
540140,22086,PAPER CHAIN,28,2011-01-10 11:00,1.54,14004,United Kingdom
538873,84029E,WOOLLY HOTTIE,17,2011-03-27 11:00,2.96,14004,United Kingdom
536374,22633,HAND WARMER,6,2011-02-07 16:00,7.65,14004,United Kingdom
537380,22086,PAPER CHAIN,30,2011-03-19 12:00,7.06,14004,United Kingdom
541313,85123A,WHITE HEART,1,2011-03-21 08:00,4.36,14004,United Kingdom
540365,22491,PINK DOUGHNUT,25,2010-12-27 08:00,7.79,14004,United Kingdom
540978,71053,METAL LANTERN,41,2010-12-01 12:00,3.9,14004,United Kingdom
537825,85123A,WHITE HEART,5,2011-03-12 10:00,8.0,14004,United Kingdom
538413,47566,PARTY BUNTING,37,2011-02-12 10:00,6.08,14004,United Kingdom
541341,22633,HAND WARMER,45,2011-01-31 08:00,5.24,14004,United Kingdom
537939,22086,PAPER CHAIN,32,2011-03-05 15:00,1.33,14004,United Kingdom
540728,22491,PINK DOUGHNUT,34,2010-12-03 09:00,4.33,14004,United Kingdom
541084,85123A,WHITE HEART,44,2011-03-04 16:00,4.93,14004,United Kingdom
538487,47566,PARTY BUNTING,15,2010-12-14 09:00,6.49,14004,United Kingdom
537694,22633,HAND WARMER,39,2011-03-08 13:00,1.95,14004,United Kingdom
540907,71053,METAL LANTERN,18,2011-03-01 10:00,3.75,14004,United Kingdom
539542,71053,METAL LANTERN,38,2011-02-17 14:00,4.16,14004,United Kingdom
539837,22633,HAND WARMER,17,2010-12-04 15:00,7.65,14004,United Kingdom
538958,22491,PINK DOUGHNUT,17,2011-02-26 12:00,2.81,14004,United Kingdom
537125,21730,GLASS STAR,2,2011-03-17 10:00,3.3,14005,United Kingdom
537264,47566,PARTY BUNTING,16,2011-03-28 15:00,2.06,14005,United Kingdom
537031,22086,PAPER CHAIN,4,2011-02-05 10:00,3.42,14005,United Kingdom
536888,71053,METAL LANTERN,19,2011-02-20 13:00,6.75,14005,United Kingdom
538661,22491,PINK DOUGHNUT,46,2011-02-16 16:00,3.55,14005,United Kingdom
538420,21212,PACK BALLOONS,22,2011-03-04 08:00,1.57,14005,United Kingdom
541186,85123A,WHITE HEART,35,2011-02-17 15:00,2.29,14005,United Kingdom
536729,22491,PINK DOUGHNUT,28,2011-02-26 09:00,3.58,14005,United Kingdom
C539162,22086,PAPER CHAIN,-11,2010-12-23 08:00,5.81,14005,United Kingdom
C540945,71053,METAL LANTERN,-39,2011-02-02 08:00,3.78,14005,United Kingdom
536490,22491,PINK DOUGHNUT,39,2011-03-13 13:00,3.25,14006,United Kingdom
536431,21212,PACK BALLOONS,17,2010-12-25 11:00,3.4,14006,United Kingdom
541083,21212,PACK BALLOONS,45,2011-03-10 13:00,4.36,14006,United Kingdom
539025,22086,PAPER CHAIN,40,2011-02-21 16:00,4.02,14006,United Kingdom
538727,84029E,WOOLLY HOTTIE,26,2011-01-28 15:00,5.25,14006,United Kingdom
538689,84029E,WOOLLY HOTTIE,37,2011-01-22 13:00,7.54,14006,United Kingdom
539235,84029E,WOOLLY HOTTIE,6,2010-12-04 15:00,2.72,14006,United Kingdom
538960,21212,PACK BALLOONS,3,2011-01-09 12:00,4.67,14006,United Kingdom
537010,22086,PAPER CHAIN,31,2011-02-22 11:00,7.28,14006,United Kingdom
540654,84029E,WOOLLY HOTTIE,49,2011-03-12 10:00,4.44,14006,United Kingdom
537506,22086,PAPER CHAIN,26,2011-01-13 12:00,2.96,14006,United Kingdom
541019,22960,JAM SET,19,2010-12-20 08:00,2.4,14006,United Kingdom
538282,85123A,WHITE HEART,26,2011-01-07 12:00,6.37,14006,United Kingdom
541150,22960,JAM SET,13,2011-01-02 13:00,4.73,14006,United Kingdom
538425,22086,PAPER CHAIN,10,2010-12-10 09:00,4.84,14006,United Kingdom
538741,22086,PAPER CHAIN,2,2011-02-01 12:00,1.62,14006,United Kingdom
538403,85123A,WHITE HEART,9,2010-12-24 13:00,5.17,14006,United Kingdom
540794,22633,HAND WARMER,30,2011-02-07 09:00,1.75,14006,United Kingdom
537935,21730,GLASS STAR,11,2011-02-14 10:00,7.57,14006,United Kingdom
540215,85123A,WHITE HEART,40,2011-01-29 15:00,6.05,14006,United Kingdom
541185,21212,PACK BALLOONS,37,2010-12-30 10:00,2.41,14006,United Kingdom
536965,21730,GLASS STAR,5,2011-02-16 11:00,2.65,14006,United Kingdom
541076,22491,PINK DOUGHNUT,25,2011-02-10 14:00,5.78,14006,United Kingdom
539077,22633,HAND WARMER,38,2011-02-01 08:00,4.78,14006,United Kingdom
540052,85123A,WHITE HEART,33,2011-02-04 12:00,3.74,14006,United Kingdom
537567,22086,PAPER CHAIN,39,2010-12-06 10:00,1.82,14006,United Kingdom
538400,22086,PAPER CHAIN,42,2010-12-15 08:00,1.97,14006,United Kingdom
537485,47566,PARTY BUNTING,27,2011-01-07 16:00,6.52,14006,United Kingdom
538222,21730,GLASS STAR,27,2011-02-06 13:00,6.21,14006,United Kingdom
539218,22491,PINK DOUGHNUT,5,2011-03-07 13:00,7.14,14006,United Kingdom
539593,85123A,WHITE HEART,31,2011-03-19 15:00,3.65,14007,United Kingdom
539256,85123A,WHITE HEART,8,2011-01-16 11:00,2.05,14007,United Kingdom
538320,85123A,WHITE HEART,45,2011-03-05 10:00,6.04,14007,United Kingdom
540471,85123A,WHITE HEART,36,2010-12-27 12:00,6.01,14007,United Kingdom
537179,85123A,WHITE HEART,10,2010-12-06 15:00,3.4,14007,United Kingdom
539370,85123A,WHITE HEART,26,2010-12-12 15:00,7.63,14007,United Kingdom
537192,85123A,WHITE HEART,18,2011-03-21 15:00,5.28,14007,United Kingdom
539300,85123A,WHITE HEART,43,2011-03-10 11:00,7.52,14007,United Kingdom
536968,85123A,WHITE HEART,37,2011-03-16 08:00,5.95,14007,United Kingdom
539898,85123A,WHITE HEART,31,2011-03-28 10:00,5.25,14007,United Kingdom
