Customer ID,gross_invoicing,credit_notes,n_invoices,last_activity,top_line_concentration,net_ledger,funding_in_use,dilution_rate,days_since_activity,dilution_component,concentration_component,dormancy_component,risk_score,priority
12346,77556.46,77621.14,17,2011-01-18 10:17:00,0.9951924056358425,-64.67999999999302,0.0,1.0008339730823195,325,0.5,0.2488,0.25,0.9988,0.0
12347,5633.32,0.0,8,2011-12-07 15:52:00,0.08169250104733977,5633.32,4506.656,0.0,1,0.0,0.0204,0.0028,0.0232,104.55
12348,2019.4,0.0,5,2011-09-25 13:13:00,0.17876597009012576,2019.4,1615.5200000000002,0.0,74,0.0,0.0447,0.2056,0.2503,404.36
12349,4428.69,24.15,5,2011-11-21 09:51:00,0.1693503044918475,4404.54,3523.632,0.005453079804637489,18,0.0091,0.0423,0.05,0.1014,357.3
12350,334.4,0.0,1,2011-02-02 16:01:00,0.11961722488038279,334.4,267.52,0.0,309,0.0,0.0299,0.25,0.2799,74.88
12351,300.93,0.0,1,2010-11-29 15:23:00,0.0777589472634832,300.93,240.74400000000003,0.0,374,0.0,0.0194,0.25,0.2694,64.86
12352,2849.84,960.63,13,2011-11-03 14:37:00,0.29485865873171824,1889.21,1511.3680000000002,0.33708208180108357,35,0.5,0.0737,0.0972,0.6709,1013.98
12353,406.76,0.0,2,2011-05-19 17:47:00,0.0978463959091356,406.76,325.408,0.0,203,0.0,0.0245,0.25,0.2745,89.32
12354,1079.4,0.0,1,2011-04-21 13:11:00,0.05010190846766722,1079.4,863.5200000000001,0.0,231,0.0,0.0125,0.25,0.2625,226.67
12355,947.61,0.0,2,2011-05-09 13:49:00,0.12663437490106688,947.61,758.0880000000001,0.0,213,0.0,0.0317,0.25,0.2817,213.55
12356,6373.68,0.0,6,2011-11-17 08:40:00,0.1192403760464912,6373.68,5098.944,0.0,22,0.0,0.0298,0.0611,0.0909,463.49
12357,18287.66,0.0,3,2011-11-06 16:07:00,0.04647942929822624,18287.66,14630.128,0.0,32,0.0,0.0116,0.0889,0.1005,1470.33
12358,3887.07,0.0,5,2011-12-08 10:26:00,0.16825012155685387,3887.07,3109.6560000000004,0.0,1,0.0,0.0421,0.0028,0.0449,139.62
12359,8935.94,221.05,14,2011-12-02 11:21:00,0.06490643401813351,8714.890000000001,6971.912000000001,0.024737184896048987,7,0.0412,0.0162,0.0194,0.0768,535.44
12360,4252.89,40.0,9,2011-10-18 15:22:00,0.15048590487880006,4212.89,3370.3120000000004,0.009405369054925004,51,0.0157,0.0376,0.1417,0.195,657.21
12361,511.25,0.0,4,2011-02-25 13:51:00,0.12909535452322737,511.25,409.0,0.0,286,0.0,0.0323,0.25,0.2823,115.46
12362,5356.23,71.65,14,2011-12-06 15:40:00,0.11556635917426997,5284.58,4227.664,0.013376946098281816,2,0.0223,0.0289,0.0056,0.0568,240.13
12363,552.0,0.0,2,2011-08-22 10:18:00,0.12565217391304348,552.0,441.6,0.0,109,0.0,0.0314,0.25,0.2814,124.27
12364,1313.1,0.0,4,2011-12-02 10:22:00,0.07996344528215674,1313.1,1050.48,0.0,7,0.0,0.02,0.0194,0.0394,41.39
12365,641.38,320.69,3,2011-02-21 14:04:00,0.5,320.69,256.552,0.5,290,0.5,0.125,0.25,0.875,224.48
12366,500.24,0.0,1,2010-03-16 10:28:00,0.3513513513513513,500.24,400.192,0.0,633,0.0,0.0878,0.25,0.3378,135.18
12367,168.9,0.0,1,2011-12-05 16:48:00,0.13854351687388985,168.9,135.12,0.0,3,0.0,0.0346,0.0083,0.0429,5.8
12368,917.6999999999999,0.0,1,2010-03-21 15:56:00,0.13010787839163127,917.6999999999999,734.16,0.0,627,0.0,0.0325,0.25,0.2825,207.4
12369,1791.15,0.0,3,2010-10-22 13:13:00,0.15632414928956256,1791.15,1432.92,0.0,412,0.0,0.0391,0.25,0.2891,414.26
12370,4320.31,0.0,7,2011-10-19 14:51:00,0.08332735382414687,4320.31,3456.2480000000005,0.0,50,0.0,0.0208,0.1389,0.1597,551.96
12371,4067.38,0.0,5,2011-10-26 10:16:00,0.17701812960677388,4067.38,3253.9040000000005,0.0,44,0.0,0.0443,0.1222,0.1665,541.78
12372,1298.04,0.0,3,2011-09-29 12:12:00,0.09545160395673478,1298.04,1038.432,0.0,71,0.0,0.0239,0.1972,0.2211,229.6
12373,1127.65,0.0,3,2011-02-01 13:10:00,0.17735999645280007,1127.65,902.1200000000001,0.0,310,0.0,0.0443,0.25,0.2943,265.49
12374,2989.2200000000003,0.0,4,2011-11-14 15:37:00,0.10705133780718716,2989.2200000000003,2391.376,0.0,24,0.0,0.0268,0.0667,0.0935,223.59
12375,457.5,2.08,3,2011-12-07 11:27:00,0.18185792349726776,455.42,364.336,0.0045464480874316945,2,0.0076,0.0455,0.0056,0.0587,21.39
12376,503.15,0.0,2,2010-11-15 12:15:00,0.23849746596442414,503.15,402.52,0.0,389,0.0,0.0596,0.25,0.3096,124.62
12377,3426.32,0.0,4,2011-01-28 15:45:00,0.0466973312475192,3426.32,2741.0560000000005,0.0,314,0.0,0.0117,0.25,0.2617,717.33
12378,5416.32,0.0,2,2011-08-02 10:34:00,0.012805742644452323,5416.32,4333.056,0.0,129,0.0,0.0032,0.25,0.2532,1097.13
12379,1620.22,1.95,5,2011-09-19 10:09:00,0.09258001999728432,1618.27,1294.616,0.0012035402599646962,81,0.002,0.0231,0.225,0.2501,323.78
12380,9676.300000000001,1788.3000000000002,15,2011-11-18 11:27:00,0.15591186713929914,7888.000000000001,6310.4000000000015,0.18481237663156372,21,0.308,0.039,0.0583,0.4053,2557.61
12381,1845.31,41.35,6,2011-12-05 12:44:00,0.20077927285930278,1803.96,1443.1680000000001,0.02240815906270491,4,0.0373,0.0502,0.0111,0.0986,142.3
12383,1850.56,11.25,6,2011-06-08 08:02:00,0.11996368666781948,1839.31,1471.448,0.006079240878436798,184,0.0101,0.03,0.25,0.2901,426.87
12384,585.27,19.11,3,2011-11-11 08:39:00,0.2733780989970441,566.16,452.928,0.03265159669895946,28,0.0544,0.0683,0.0778,0.2005,90.81
12385,1938.4,15.0,2,2010-11-25 15:19:00,0.13929013619479982,1923.4,1538.7200000000003,0.007738340899711101,378,0.0129,0.0348,0.25,0.2977,458.08
12386,660.8,0.0,2,2011-01-06 12:37:00,0.21610169491525427,660.8,528.64,0.0,337,0.0,0.054,0.25,0.304,160.71
12387,143.94,0.0,1,2010-10-20 16:27:00,0.23551479783243018,143.94,115.152,0.0,414,0.0,0.0589,0.25,0.3089,35.57
12388,3901.11,0.0,8,2011-11-24 12:30:00,0.05163914885763283,3901.11,3120.8880000000004,0.0,15,0.0,0.0129,0.0417,0.0546,170.4
12389,1433.33,0.0,3,2010-11-02 11:52:00,0.24593080449024302,1433.33,1146.664,0.0,402,0.0,0.0615,0.25,0.3115,357.19
12390,549.84,0.0,1,2011-09-21 09:33:00,0.08184199039720645,549.84,439.87200000000007,0.0,79,0.0,0.0205,0.2194,0.2399,105.53
12391,2773.42,25.6,7,2011-11-18 12:07:00,0.057654448298490674,2747.82,2198.2560000000003,0.00923048077824491,21,0.0154,0.0144,0.0583,0.0881,193.67
12392,234.75000000000003,0.0,1,2010-04-27 14:04:00,0.30159744408945693,234.75000000000003,187.80000000000004,0.0,590,0.0,0.0754,0.25,0.3254,61.11
12393,2399.4500000000003,22.7,7,2011-09-28 15:41:00,0.07576736335410199,2376.7500000000005,1901.4000000000005,0.00946050136489612,71,0.0158,0.0189,0.1972,0.2319,440.93
12394,1272.48,0.0,2,2011-10-07 08:08:00,0.20922922167735447,1272.48,1017.984,0.0,63,0.0,0.0523,0.175,0.2273,231.39
12395,5067.27,20.35,18,2011-11-24 12:20:00,0.10182997945639367,5046.92,4037.536,0.0040159691510418824,15,0.0067,0.0255,0.0417,0.0739,298.37
12396,931.43,0.0,1,2010-02-03 13:22:00,0.02136499790644493,931.43,745.144,0.0,673,0.0,0.0053,0.25,0.2553,190.24
12397,2409.9,0.0,2,2011-11-04 09:52:00,0.08091622059006598,2409.9,1927.92,0.0,35,0.0,0.0202,0.0972,0.1174,226.34
