Invoice,client,value,n_lines,flag_round_number,date,flag_duplicate
511465,18008,10200.0,2,True,2010-06-08,False
502269,17940,10000.0,4,True,2010-03-23,False
501766,15760,6958.17,1,False,2010-03-19,True
501768,15760,6958.17,1,False,2010-03-19,True
573077,12536,4161.06,1,False,2011-10-27,True
573080,12536,4161.06,1,False,2011-10-27,True
490061,18102,4000.0,4,True,2009-12-03,False
524147,14911,3787.88,22,False,2010-09-27,True
524155,14911,3787.88,22,False,2010-09-27,True
511164,14028,3610.5,3,False,2010-06-07,True
511176,14028,3610.5,3,False,2010-06-07,True
567480,17450,3200.0,2,True,2011-09-20,False
569030,17450,2800.0,9,True,2011-09-30,False
562946,15581,2500.0,1,True,2011-08-11,False
515930,18102,2284.92,3,False,2010-07-15,True
515936,18102,2284.92,3,False,2010-07-15,True
577822,14607,2000.0,10,True,2011-11-22,False
502267,17940,1900.0,4,True,2010-03-23,False
569572,16684,1800.0,10,True,2011-10-05,False
546329,14911,1687.17,1,False,2011-03-11,True
546328,14911,1687.17,1,False,2011-03-11,True
493702,18102,1600.0,2,True,2010-01-05,False
497947,12380,1508.65,51,False,2010-02-15,True
497952,12380,1508.65,1,False,2010-02-15,True
569388,14031,1416.0,1,False,2011-10-03,True
569385,14031,1416.0,1,False,2011-10-03,True
528375,13093,1377.0,3,False,2010-10-21,True
528388,13093,1377.0,3,False,2010-10-21,True
520503,18102,1300.0,4,True,2010-08-26,False
554301,12757,1241.98,1,False,2011-05-23,True
554155,12757,1241.98,1,False,2011-05-23,True
495235,14156,1193.89,1,False,2010-01-22,True
495232,14156,1193.89,71,False,2010-01-22,True
498939,12482,1087.52,13,False,2010-02-24,True
498943,12482,1087.52,13,False,2010-02-24,True
498945,12482,1087.52,13,False,2010-02-24,True
498936,12482,1087.52,13,False,2010-02-24,True
521097,12589,1055.75,1,False,2010-09-02,True
521038,12589,1055.75,42,False,2010-09-02,True
567425,13767,1004.4000000000001,9,False,2011-09-20,True
567376,13767,1004.4000000000001,9,False,2011-09-20,True
574271,14607,1000.0,1,True,2011-11-03,False
509037,13953,1000.0,1,True,2010-05-20,False
574709,17768,1000.0,52,True,2011-11-06,False
489727,17949,900.0,1,True,2009-12-02,False
570192,17509,898.14,53,False,2011-10-07,True
570180,17509,898.14,53,False,2011-10-07,True
503835,12482,874.84,11,False,2010-04-07,True
503836,12482,874.84,11,False,2010-04-07,True
505229,12482,874.84,1,False,2010-04-21,True
505227,12482,874.84,1,False,2010-04-21,True
503833,12482,874.84,11,False,2010-04-07,True
496463,15480,818.19,45,False,2010-02-01,True
496467,15480,818.19,1,False,2010-02-01,True
517934,12748,800.0,1,True,2010-08-03,False
518777,12748,800.0,1,True,2010-08-11,False
511993,14911,800.0,27,True,2010-06-11,False
493897,14911,780.52,1,False,2010-01-08,True
493900,14911,780.52,1,False,2010-01-08,True
531950,12823,765.0,1,False,2010-11-10,True
531957,12823,765.0,1,False,2010-11-10,True
495056,14911,756.85,1,False,2010-01-20,True
495055,14911,756.85,1,False,2010-01-20,True
515128,12592,715.02,1,False,2010-07-08,True
515123,12592,715.02,31,False,2010-07-08,True
515146,12592,715.02,31,False,2010-07-08,True
546733,16029,705.6000000000001,3,False,2011-03-16,True
546734,16029,705.6000000000001,3,False,2011-03-16,True
557754,12432,700.0,1,True,2011-06-22,False
530646,15270,640.26,11,False,2010-11-04,True
530647,15270,640.26,11,False,2010-11-04,True
496584,14911,608.5,1,False,2010-02-02,True
496564,14911,608.5,41,False,2010-02-02,True
534393,16013,600.0,2,True,2010-11-22,False
534083,13668,600.0,40,True,2010-11-21,False
558381,15299,600.0,1,True,2011-06-28,False
547154,15299,600.0,1,True,2011-03-21,False
548354,15981,600.0,13,True,2011-03-30,False
523371,17850,585.9,26,False,2010-09-21,True
523348,17850,585.9,26,False,2010-09-21,True
546403,16766,572.8,17,False,2011-03-11,True
546387,16766,572.8,17,False,2011-03-11,True
504213,15546,539.5500000000001,6,False,2010-04-12,True
504214,15546,539.5500000000001,6,False,2010-04-12,True
523468,17850,538.6800000000001,25,False,2010-09-22,True
523511,17850,538.6800000000001,25,False,2010-09-22,True
494455,17850,532.1,20,False,2010-01-14,True
494481,17850,532.1,20,False,2010-01-14,True
536375,17850,519.72,16,False,2010-12-01,True
536373,17850,519.72,16,False,2010-12-01,True
490538,17850,504.54,18,False,2009-12-07,True
490548,17850,504.54,18,False,2009-12-07,True
573358,17213,500.61,29,False,2011-10-30,True
573390,17213,500.61,29,False,2011-10-30,True
532807,17841,500.0,76,True,2010-11-14,False
529141,13953,500.0,1,True,2010-10-26,False
546154,13953,500.0,1,True,2011-03-10,False
557509,15389,500.0,1,True,2011-06-20,False
